,features,coefs,mae
26,"('yr', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.98999025 -121.60820115  912.5879096    12.62579849  -92.74406684
  -52.74656774   21.67505058   43.69994722 -428.71510479  224.82452526
 1235.19884414  901.73308419]",622.7853807695092
27,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.42871067  -29.73661222  -75.66019187  122.95318546  920.74140038
  -52.577039     22.16938299   45.08483276   93.49064049 -432.41451311
  244.09031033 1232.00899704  899.68330795]",622.7883413435275
28,"('yr', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1012.0002897   -76.13188875  123.35736964  912.57107345   12.63448015
  -52.75609964   21.6422312    43.66560821   92.76293662 -428.71785754
  224.82521633 1235.179716    901.72249555]",622.806017213359
29,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.25264358  170.82941266  910.59051236   15.89826696  -84.04294777
   29.29898056  115.51839259 -433.34648957  222.23675058 1239.76367996
  905.43131069]",622.8853448033858
30,"('yr', 'workingday', 'atemp', 'leaflets', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.68795966  149.97936711  912.91059645   14.91399792   33.09023924
   56.15331957  127.04280473 -430.38892851  223.97156329 1228.10781798
  892.67019939]",622.9012976373352
31,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_2', 'weathersit_3')","[1009.03645675  -32.87084278  167.99244149  917.8053834    14.42295603
  -81.94355493    7.91157878   31.8218697   116.35723684 -439.67440714
  244.11232698 -312.97784148 -422.50426408]",622.9362222142
32,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_3')","[1009.02364413  -32.8338413   168.03265277  917.76260218   14.41696165
  -81.94959195    7.89462846   31.80321391  116.37549085 -439.68731592
  244.0979131   318.15134118 -316.33786408]",622.9910190705446
33,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2', 'weathersit_3')","[1009.02453233  -32.82446287  168.0433154   917.74807576   14.42006133
  -81.94313826    7.89931382   31.81199517  116.38209602 -439.6838635
  244.08846454  216.16860787 -100.57936819 -350.40352139]",622.999519984051
34,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.56009948  -27.05334239 -118.05553864  919.09464113    7.29018748
   51.75502586  -93.95220794  -54.20256444   20.29780373   45.42194544
 -434.42248212  241.88991501 1234.83292348  900.79447929]",623.0118813098773
35,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.47961585  -27.34853418  311.93570695  919.34085576    7.31576735
   51.95379777  140.46069023  -54.48886409   20.77300125   45.95986245
  237.30746285 -434.48372194  242.01429656 1234.44290416  900.47830617]",623.0619546912008
36,"('yr', 'workingday', 'atemp', 'price reduction', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.37599292  166.91123624  911.75969165   56.04042925  -80.79169819
    8.58825819   35.16208658  118.71929116 -432.84800862  221.74135878
 1242.8761947   906.95705951]",623.0677858117956
37,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.89027     -32.11878437  178.13581411  916.03568633   16.2368525
  -90.18419884  114.2991165  -440.54500831  241.82323253 1241.20616179
  908.37796394]",623.0799676714971
38,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.46766533  -29.06427784  317.52487465  919.34380589   12.58261847
  137.84912586  -61.49815665   36.79400802  231.93682937 -434.35055695
  243.58007383 1235.15336323  902.65102656]",623.126216087718
39,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_1', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1010.05188518  -29.85767213  177.77237439  915.56662825   11.40412401
   53.19375986  -89.98115292  116.25310551 -441.06626639  239.88124297
 1245.50092478  911.05980329]",623.1575176995983
40,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1012.467348    -27.7825883  -134.42096127  919.61158713   11.21075108
  -80.66338377   34.64329849   56.56642431 -431.52829385  244.41554462
 1225.97530692  892.75070146]",623.1594792178328
41,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.53108727  -28.82299447 -116.44236468    9.7815112   919.31740262
   12.45480629  -92.75173157  -60.56289868   36.92743729 -434.16520022
  243.53048971 1235.36804363  902.82782177]",623.1701716961232
42,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.52849111  -28.8251574   -99.74490777   55.06186985  919.33263503
   12.44648645  -58.78064436  -60.52257294   36.95994872   34.33698259
 -434.15635091  243.53573492 1235.37553391  902.83380596]",623.172237260289
43,"('yr', 'workingday', 'atemp', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1008.7967864   168.11935456  911.88761033  -81.46908705    8.8015919
   32.80510823  116.87073525 -431.44535793  222.09583271 1239.85471151
  905.57183098]",623.176979435654
44,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.54243908  -27.11364187 -119.11338173   -3.01599166  919.3162764
    7.19220445   51.83603323  -95.44694262  -53.45689629   21.06896546
   46.18324296 -434.29211942  241.96933473 1234.58624565  900.58975826]",623.1769922759704
45,"('yr', 'mnth', 'holiday', 'workingday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.53928118  -27.11635373  -99.85520739   49.21036614  919.33452612
    7.18033233   51.84424736  -56.24471192  -53.39008269   21.12796524
   46.2409763    39.62468692 -434.2807671   241.97544884 1234.58308845
  900.58503469]",623.1827686468772
46,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'weekday_0', 'weekday_1', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.5291611   -28.83152323 -120.03915341  919.34803991   12.4452975
 -100.00973654  -60.49491169   36.9998374    -7.09645307 -434.14873764
  243.54175666 1235.35210923  902.81837599]",623.1920892656607
47,"('yr', 'mnth', 'workingday', 'atemp', 'leaflets', 'weekday_1', 'weekday_4', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1009.89954173  -32.11195207  178.58611765  916.06695684   16.24693336
  -90.54781618   -1.67699181  114.22469994 -440.53218843  241.85336098
 1241.44418967  908.60234844]",623.1927193231753
48,"('yr', 'mnth', 'holiday', 'atemp', 'leaflets', 'price reduction', 'weekday_0', 'weekday_1', 'weekday_4', 'weekday_5', 'weekday_6', 'season_1', 'season_4', 'weathersit_1', 'weathersit_2')","[1011.5397247   -27.12237762 -117.99354817  919.34893147    7.17751708
   51.84807041  -93.07392871  -53.3466748    21.18228941   46.29508359
    2.61298553 -434.27287142  241.98100813 1234.55103212  900.56039541]",623.2008036035002
